B406;118,94;74,75;3
B462;108,21;49,98;3
B663;35,4;44,72;2
B653;58,49;23,18;3
B480;112,92;43,21;1
B798;82,55;93,12;3
B935;102,31;11,47;4
A285;53,58;85,08;5
B496;21,94;58,88;4
B770;5,65;88,9;1
B862;18,71;56,79;2
B990;77,15;115,13;3
A250;35,49;36,81;2
B364;23,15;22,28;1
B247;77,21;1,08;2
A850;108,33;59,19;4
A325;61,39;76,01;5
A456;0,15;35,39;2
B813;21,63;9,35;1
B278;3;92,8;3
B142;104,9;104,66;1
B987;43,88;15,94;3
B668;62,34;9,5;4
A444;13,09;112,65;2
B503;22,65;54,45;3
B821;31,51;112,2;5
B116;33,75;63,89;5
A829;84,79;83,38;4
A652;20,84;54,18;1
B786;32,11;51,73;5
B999;74,91;84,8;4
